(forest ) plant sociology	森林植物社會學
Canthigaster rivulatus (Temminck & Schlegel)	條紋扁背魨
Canthigaster solandri (Richardson)	眼斑扁背魨
Canthigaster valentini (Bleeker)	橫帶扁背魨
Caoli	草里
Capelin	毛麟魚
Capilary fringe	微管緣
Capillariasis	毛細線蟲病
Capillarity	毛細管作用
Capillary	毛〔細〕管
Capillary action	毛〔細〕管作用
Capillary bleeding	毛細管出血
Capillary conductivity	毛〔細〕管傳異度
Capillary depression	毛〔細〕管下降
Capillary front	毛〔細〕管水上升限
Capillary moisture	毛〔細〕管水
Capillary movement	毛〔細〕管移動
Capillary potential gradient	毛〔細〕管勢梯度
Capillary stage	毛〔細〕管階段
Capillary trachea	毛〔細〕氣管
Capillary tube	毛〔細〕管
Capital construction in agriculture	農田基本建設
Capper	封口機
Capricornis crispus swinhoei	臺灣野山羊
Caprine Arthritis/Encephalitis	山羊關節炎腦炎
Caprine and Ovine Brucellosis	羊布氏桿菌病
Caprine and ovine brucellosis；B. ovis	羊布氏桿菌病
Caprodon schlegeli (Gunther)	異臂花鱸
Caproidae	菱鯛科
Capsulizing machine	製膠丸機
Captivity	馴養
Caracanthus maculatus (Gray)	斑點棘頰
Carapace	甲殼
Carapace length	背甲長
Carapidae	隱魚科
Carapus homei (Richardson)	荷姆隱魚
Carapus owasianus Matsubara	底隱魚
Carassius auratus auratus (Linnaeus)	鯽魚、鯽仔、鯽仔魚
Carassius auratus gibelio	銀鯽
Carb-eating mongoose	棕簑貓
Carbohydrate	碳水化合物
Carbohydrate metabolism	糖代謝作用
Carbolic acid	石碳酸
Carbon	碳
Carbon Dioxide Stunner	二氧化碳昏迷設備
Carbon assimilation	碳素同化作用
Carbon cycle	碳循環
Carbon dioxide	二氧化碳
Carbon dioxide intoxication	二氧化碳中毒
Carbon isotope	碳同位數
Carbon monoxide	一氧化碳
Carbon sequestration	碳吸存
Carbon-nitrogen ratio	碳氮比
Carbonaceous	碳的，碳質的
Carbonate	碳酸鹽
Carbonation	碳化作用
Carbonic acid	碳酸
Carbonide	碳化物
Carbonization	碳化作用
Carbonized wool	碳化羊毛
Carburator	氣化器
Carcass	屠體
Carcass Splitter	屠體自動鋸半機
Carcass inspection	屠體檢查
Carcasses	屠體
Carcharhinidae	白眼鮫科
Carcharhinus abscurus (Lesueur)	污灰白眼鮫
Carcharhinus albmarginatus (Ruppell)	白邊鰭白眼鮫
Carcharhinus altimus (Springer)	巨鼻白眼鮫
Carcharhinus brachyurus (Gunther)	短尾白眼鮫
Carcharhinus brevipinna (Muller & Henle)	短翅白眼鮫
Carcharhinus dussumieri (Muller & Henle)	杜氏白眼鮫
Carcharhinus faciformis (Muller & Henle)	絲光白眼鮫
Carcharhinus gangeticus (Muller & Henle)	恆河白眼鮫
Carcharhinus leucus (Muller & Henle)	牛公白眼鮫
Carcharhinus limbatus (Muller & Henle)	黑印白眼鮫
Carcharhinus longimanus (Poey)	污斑白眼鮫
Carcharhinus melanopterus (Quoy & Gaimard)	鳥翅白眼鮫
Carcharhinus plumbeus (Nardo)	沙條白眼鮫
Carcharhinus sorrah (Muller & Henle)	沙拉白眼鮫
Carcharias yangi Teng	楊氏砂鮫
Carcharodon carcharias (Linnaeus)	食人鮫
Carcinocidine	消癌素
Carcinogen	致癌因素
Carcinogenic compound	致癌化合物
Carcinology	甲殼動物學
Carcinoma	癌瘤
Carcinoma adenomatosum	腺癌
Carcinoma hepatocellulate	肝細胞癌
Carciomycin	癌霉素
Cardia	心臟，噴門
Cardiac	心臟的
Cardiac action	心臟活動
Cardiac sinus	心竇
Cardiac stimulant	強心劑
Cardiac valve	噴門瓣
Cardiant	強心劑
Cardinal number	序數
Cardinal point	基點
Cardinal vein	主靜脈
Cardinal winds	主要風向
Cardioblast	成心肌細胞
Cardiodactylus novaeguineae	黃斑鐘蟋蟀
Cardiopulmonary Resuscitation	心肺復甦術
Cardiopulmonary Resuscitation ; CPR	心肺復甦術
Caretta caretta gigas	赤蠵龜
Cargo rice	糙米
Caribbean Basin Initiative ; CBI	加勒比海盆地倡議
Caribbean Community and Common Market ; CARICOM	加勒比海共同體與共同市場
Caribbean Development Bank ; CDB	加勒比海開發銀行
Caridima denticulata	池中雜蝦
Carnivore	食肉動物
Carnivorous	食肉的
Carnivorous insect	食肉性昆蟲
Carnivorous plant	食肉植物
Carnivorus	肉食性
Carnose	多肉的，肉質的
Carorenoids	類胡蘿蔔素
Carotene	胡蘿蔔素
Carotenoid	類胡蘿蔔素
Carotin	胡蘿蔔素
Carotinoid	類胡蘿蔔素
Carp	鯉
Carp culture	鯉魚養殖
Carp erthrodermatitis	鯉之紅斑性皮膚炎
Carp spring viremia	鯉春病毒病
Carp swim bladder inflammation	鯉鰾炎病
Carp-louse	鯉虱
Carpal bone	腕骨
Carposina sasakii＝Carposina niponensis	桃蛀果蛾
Carpospore	果胞子
Carrageenin	鹿角菜膠
Carraneenin	卡拉膠
Carrier	賦形物
Carrier	載體
Carrion crow	烏鴉
Carrot	胡蘿蔔
Carrot beetle	胡蘿蔔金龜子
Carrying agent	載體
Carrying capacity	容納量，裝載量
Carryover (analytical)	移轉污染 (分析)
Carryover (field)	移轉污染 （田間）
Cartagena Protocol on Biological Safety	生物安全議定書
Carteria	四鞭藻
Cartilage	軟骨
Cartilage bone	軟骨成骨
Cartilagenous	軟骨的
Cartilagenous bone	軟骨性骨
Cartographic projection	地圖投影
Cartography	製圖學
Carton	紙板盒
Caryogenetics	核遺傳學
Caryolite	肌節
Caryophylaceous	石竹科的
Caryophyllosis	鯉蠢病
Cascading Style Sheet ; CSS	串接呈現表單
Case	病例
Case rate	罹病率
Case record	病歷
Casein	酪素
Casein	酪蛋白
Casein whey	酪蛋白乳清
Caseous lymphadenitis	羊乾酪性淋巴腺炎
Cash Payoffs	現金賠付
Cash card	現金卡
Cash flow analysis	現金流量分析
Cashier	出納
Cassava	樹薯
Cassava leaf meal	樹薯葉粉
Cassava mosaic geminivirus	樹薯嵌紋病
Cassava strach pulp	樹薯澱粉粕
Cast net	掩網
Caster seed meal	篦麻子粕
Casting net	撒網
Catabolism	分解代謝
Catachromasis	淺染
Cataclysmic origin of species	物種的激變起源
Catadromous	降海產卵
Catadromous fish	降海產卵魚
Catadromous migration	降河回游
Catalase	催化莓
Catalase test	觸?試驗
Catalogue	目錄
Catalysis	催化作用
Catalyst	催化劑
Catalytic action	催化作用
Catalytic agent	催化劑
Catalyzer	催化劑
Cataphalanx	冷鋒面
Cataphoresis	電〔粒〕泳
Cataplasm	熱敷劑
Cataract	內障
Cataract traumatica	灰內障
Catarrh	黏膜炎，卡他
Catarrh of the intestine	腸內黏膜炎
Catarrhal	黏膜炎的
Catastaltic	抑制的
Catastaltica	抑制劑
Catch	漁獲物
Catch analysis	漁獲分析
Catch basin	集水池
Catch composition	漁獲組成
Catch control	漁獲量控制
Catch indicator	漁獲量指示器
Catch per haul	單位網次漁獲量
Catch per unit effort	單未努力漁獲量
Catch prediction	漁獲量預報
Catch processing	漁獲加工
Catch quota	漁獲量限額
Catch rate	漁獲率
Catch statistics	漁獲統計
Catchability	可捕性
Catchability coefficient	可漁獲係數
Catchable size	可捕規格
Catchable stock	可捕資源
Catcher	集草器
Catchment	集水區，流域
Catchment Area	集水區
Category	類別，種類
Category of Protection Forest	保安林種類
Caterpillar	毛蟲
Catfish	鯰魚
Catfish fry	鯰魚苗
Cathartic	瀉劑
Cathetometer	測高劑
Cathode	陰極
Cathode ray	陰極射線
Cation	陽離子
Cation equivalent constant	陽離子當量常數
Cation exchange capacity	陽離子交換容量
Cationic layer	陽離子層
Cationite	陽離子交換劑
Cationotropy	陽離子移變
Cattle Auction Yard	乳牛拍賣場
Cauda	尾
Caudad	尾向
Caudal fin	尾鰭
Caudate	有尾的
Caudation	有尾
Caudiferous	有尾的
Cauf	養魚場
Caul fat	網油
Cauliflower disease	菜花病
Causative agent	病原體
Causeway	長堤，堤道
Caustic	腐蝕性
Caustic lime	生石灰
Caustic potash	苛性鉀
Caustic soda	苛性鈉
Causticity	苛性
Cave animal	穴居動物
Cavernicolous	穴棲的
Cavernous	多穴的，多孔的
Cavernous body	海棉體
Cavernous structure	穴管狀結構
Caviar	魚子醬
Cavity	腔
Cell	細胞
Cell aggregation	細胞集合
Cell antigen	細胞抗原
Cell biology	細胞生物學
Cell body	細胞體
Cell cavity	細胞腔
Cell centre	細胞中心
Cell contents	細胞內含物
Cell culture	細胞培養
Cell cycle	細胞周期
Cell density	細胞密度
Cell differentiation	細胞分化
Cell division	細胞分裂
Cell engineering	細胞工程
Cell formation	細胞形成
Cell fusion	細胞并合
Cell hybridization	細胞雜交
Cell inclusion	細胞內含物
Cell infiltration	細胞浸潤
Cell lineage	細胞譜系
Cell membrane	細胞膜
Cell multiplication	細胞增殖
Cell nucleus	細胞核
Cell of bees	巢房
Cell organ	細胞器
Cell plate	細胞板
Cell protector	母蜂台保護 器
Cell sap	細胞液
Cell strain	細胞株
Cell theory	細胞學說
Cell wall	細胞壁
Cella	板窩
Cellar	地下室
Celliferous	生細胞的
Cellobiose	纖維二糖
Cellophane	賽路吩，玻璃紙
Cellophane swab	玻璃紙拭紙
Cellula	室，細胞
Cellular	細胞的
Cellular Mobile Telephone Services ; CMTS	數據式行動電話服務
Cellular circulation	單體環流，環流
Cellular differentiation	細胞分化
Cellular elements	細胞分子
Cellular fusion	細胞融合
Cellular hypothesis	環型假說
Cellular morphology	細胞形態學
Cellular necrosis	細胞壞死
Cellular pattern	環型
Cellular physiology	細胞生理學
Cellular plant	細包植物
Cellular reaction	細胞反應
Cellular structure	細胞狀結構
Cellular texture	細胞狀結構
Cellular tissue	細胞狀組織
Cellular type	細胞型
Cellulase	纖維素分解酵素
Cellule	〔小〕細胞，小室
Cellulolytic	分解纖維素的
Cellulose	纖維素
Cellulose acetate	醋酸纖維素
Cellulose nitrate	硝化纖維素
Cellulose xanthate	黃酸纖維素
Cellulose-decomposing bacteria	纖維素分解細菌
Cellulose-fermenting bacteria	纖維素發酵細菌
Cementation	膠結作用
Cempylidae	帶鰆科
Cenanthy	空花現象
Cene molasses	甘蔗糖蜜
Cenogenesis	新性發生
Cenogonous	卵胎互生的
Cenosere	近生代演替系列
Cenospecies	群型種
Cenozoic era	新生代
Census method	種群調查法，普查法
Census of agriculture	農業普查
Census of population and housing	戶口普查
Central African Customs and Economic Union ; UDEAC	中部非洲關稅及經濟聯盟
Central African States Development Bank ; BDEAC	中非洲國家開發銀行
Central American Bank for Economic Integration ; BCIF	中美洲經濟整合銀行
Central American Common Market ; CACM	中美洲共同市場
Central Bank of the Philippines ; BSP	菲律賓中央銀行
Central Intelligence Agency ; CIA	中央情報局
Central Pacific	中太平洋
Central Pharmaceutical Affairs Council ; CPAC	中央藥品管理委員會
Central Region Branch, Agriculture and Food Agency	農糧署中區分署
Central authorities	中央主管機關
Central axial filament	中央軸絲
Central axis	中心柱
Central body	中心體
Central bundle	中心輸導束
Central canal	中心溝
Central cell	中心細胞
Central cyclone	中心氣旋
Central cylinder	中柱
Central granule	中心粒
Central group	中心細胞群
Central lesion	中心神經系統損傷
Central nerve trunk	中心神經幹
Central nervous system	中心神經系統
Central nodal cell	中軸節細胞
Central nodule	中央節
Central sheath	中央鞘
Central siphon	軸管
Central spindle	中心紡錘體
Central tissue zone	中央組織區
Central vacuole	中央液泡
CentralDiasasterEmergencyOperationCenter	中央災害應變中心
Centre for Strategic and International Studies ; CSIS	戰略與國際研究中心
Centre line	中線
Centre of action	作用中心
Centre of dispersal	分散中心
Centre of distribution	分佈中心
Centre of diversity	變異中心
Centre of equillibrum	平衡中心
Centre of gravity	重心
Centre of inertia	慣性中心
Centre of infection	傳染中心
Centre of mass	質量中心
Centre of origin	發源中心
Centre of pull	牽引阻力中心
Centre of variation	變化中心
Centre of vision	中視點
Centric	有著絲點的
Centric fusion	著絲點并合
Centric mesophyll	環裂葉肉
Centrifugal	離心的
Centrifugal broadcaster	離心式撒播機
Centrifugal cream-separator	奶油分離機
Centrifugal effect	離心效應
Centrifugal force	離心力
Centrifugal inflorescence	離心花序
Centrifugal invasion	離心侵占
Centrifugal pump	離心泵
Centrifugal separator	離心式分離機
Centrifugal xylem	離心木質部
Centrifuge	離心機
Centrifuge microscope	離心顯微鏡
Centriole	中心粒
Centripetal	向心的
Centripetal force	向心力
Centriscidae	蝦魚科
Centriscus capito Oshima	臺灣蝦魚
Centriscus scutatus Linnaeus	蝦魚
Centro	山珠豆
Centroberyx rubricaudus Liu & Shen	紅尾金眼鯛
Centrocestus infection	異型吸蟲症
Centrolophidae	長鯧科
Centromere	著絲力
Centronucleus	中心核
Centrophorus acus Garman	黑尖鰭鮫
Centrophorus armatus (Gilchrist)	鏃棘尖鰭鮫
Centrophorus atromarginatus Garman	黑緣尖鰭鮫
Centrophorus niaukany Teng	鄧氏尖鰭鮫
Centrophorus scalpratus McCulloch	皺皮尖鰭鮫
Centroplasm	中心質
Centropomidae	雙邊魚科、鋸輒蓮
Centropyge bicolor (Bloch)	二色棘蝶魚
Centropyge bispinosus (Gunther)	雙棘棘蝶魚
Centropyge ferrugatus Randall & Burgess	色棘蝶魚
Centropyge flavicauda Fraser-Brunner	黃尾棘蝶魚
Centropyge hearldi Woods & Schultz	赫氏棘蝶魚
Centropyge nox (Bleeker)	黑褐棘蝶魚
Centropyge tibicen (Cuvier & Valenciennes)	白斑棘蝶魚
Centropyge vroliki (Bleeker)	伏羅氏棘蝶魚
Centrosomal fibre	中心體連絲
Centrosome	中心體
Centrosphere	中心球
Centrum	中心體，椎體
Cephalaspidomorphi	頭甲綱
Cephalic	頭部的
Cephalic artery	頭血管
Cephalic gland	頭腺
Cephalic lobe	頭葉
Cephalic vesicle	前囊
Cephalin	腦磷質
Cephalobrachial chromosome	短臂染色體
Cephalopholis argus (Bloch & Schneider)	眼斑鱠
Cephalopholis aurantius (Cuvier & Valenciennes)	黑邊鰭紅鱠
Cephalopholis awanius Tsai	花蓮鱠
Cephalopholis boenack (Bloch)	黑鱠
Cephalopholis igarashiensis Katayama	伊加拉鱠
Cephalopholis miniatus (Forsskal)	紅鱠
Cephalopholis pachycentron (Cuvier & Valenciennes	橫紋鱠
Cephalopholis rogaa Forsskal	珞珈鱠
Cephalopholis sonnerati (Cuvier & Valenciennes)	網紋鱠
Cephalopholis urodelus (Bloch & Schneider)	霓鱠
Cephalopoda	頭足類
Cephaloscyllium formosanum Teng	星頭鮫
Cephaloscyllium umbartile Jordan & Fowler	頭鮫
Cephalothorax ostracum	頭胸甲
Cepola schlegeli (Bleeker)	史氏紅簾魚
Cepolidae	紅簾魚科，赤刀魚科
Ceratiidae	密刺 科
Ceratitis capitata（Wiedemann	地中海果實蠅
Ceratophyllous	金魚藻科的
Cerebellum	小腦
Cerebral	大腦的
Cerebral ganglion	腦神經節
Cerebral hemisphere	大腦半球
Cerebrin	腦素
Certificate	檢疫證
Certificate of Origin ; CO, C/O	原產地証明
Certificates of Quota Eligibility ; CQE	配額合格證書
Certified Agricultural Standard ; CAS	優良農產品證明標章
Certified reference material	認證參考物質
Cervical vertebra	頸椎
Cestoidea	絛蟲
Cetacea	鯨類
Cetorhinidae	象鮫科
Cetorhinus maximus (Gunnerus)	象鮫
Cetoscarus bicolor (Ruppell)	青鸚哥魚
Chachayalaishan Major Wildlife Habitat	茶茶牙賴山野生動物重要棲息環境
Chaeta	體毛，剛毛
Chaetoceros	角刺藻
Chaetoceros gracilis	角毛藻
Chaetodermis spinosissimus (Quoy & Gaimard)	皮鬚單棘魨
Chaetodon adiergastos Seale	菲島蝶魚
Chaetodon argentatus Smith & Radcliffe	銀蝶魚
Chaetodon auriga Forsskal	楊旛蝶魚
Chaetodon auripes Jordan & Snyder	金色蝶魚
Chaetodon baronessa Cuvier & Valenciennes	巴氏蝶魚
Chaetodon bennetti Cuvier & Valenciennes	本氏蝶魚
Chaetodon citrinellus Cuvier & Valenciennes	胡麻蝶魚
Chaetodon collare Bloch	紅尾蝶魚
Chaetodon daedelma Jordan & Fowler	繡蝶魚
Chaetodon ephippium Cuvier & Valenciennes	黑背蝶魚
Chaetodon falcula Bloch	簾蝶魚
Chaetodon flavirostris Gunther	黃吻蝶魚
Chaetodon guentheri Ahl	貢氏蝶魚
Chaetodon kleinii Bloch	霙蝶魚
Chaetodon lineolatus Cuvier & Valenciennes	新月蝶魚
Chaetodon lunula (Lacepede)	月斑蝶魚
Chaetodon melannotus Bloch & Schneider	曙色蝶魚
Chaetodon mertensii Cuvier & Valenciennes	珠光蝶魚
Chaetodon meyeri Schneider	麥氏蝶魚
Chaetodon miliaris Quoy & Gaimard	粟籽蝶魚
Chaetodon modestus Temminck & Schlegel	尖嘴蝶魚
Chaetodon nippon Doderlein & Steindachner	日本蝶魚
Chaetodon octofasciatus Bloch	八帶蝶魚
Chaetodon ornatissimus Cuvier & Valenciennes	六帶蝶魚
Chaetodon plebeius Cuvier & Valenciennes	黑腰蝶魚
Chaetodon punctatofasciatus Cuvier & Valenciennes	繁紋蝶魚
Chaetodon quadrimaculatus Gray	四斑蝶魚
Chaetodon rafflesi Bennett	雷氏蝶魚
Chaetodon reticulatus Cuvier & Valenciennes	網紋蝶魚
Chaetodon selene Bleeker	彎月蝶魚
Chaetodon semeion Bleeker	細點蝶魚
Chaetodon speculum Cuvier & Valenciennes	鏡斑蝶魚
Chaetodon triangulum Cuvier & Valenciennes	三角蝶魚
Chaetodon trifascialis Quoy & Gaimard	三紋蝶魚
Chaetodon trifasciatus Mungo Park	三帶蝶魚
Chaetodon ulietensis Cuvier & Valenciennes	鞍斑蝶魚
Chaetodon unimaculatus Bloch	單斑蝶魚
Chaetodon vagabundus Linnaeus	飄浮蝶魚
Chaetodon wiebeli Kaup	荷包蝶魚
Chaetodon xanthurus Bleeker	黃尾蝶魚
Chaetodontidae	蝶魚科
Chaetodontoplus chrysocephalus (Bleeker)	黃面棘蝶魚
Chaetodontoplus dubouleyi (Gunther)	杜氏棘蝶魚
Chaetodontoplus melanosoma Bleeker	黑身棘蝶魚
Chaetodontoplus mesoleucus (Bloch)	蟲紋棘蝶魚
Chaetodontoplus personifer (McCulloch)	擬棘蝶魚
Chaetodontoplus septentrionelis	北方棘蝶魚
Chaetophorous	有剛毛的
Chaetotaxy	體毛序
Chaff	糠
Chain Conveyor	鏈條輸送機
Chain Type Unloader	鏈條式卸穀機
Chairperson	系主任(7~9職等)
Chalazogamy	合點受精
Chalk rock	白堊石
Chamber	腔，室
Champsodon guentheri Regan	貢氏鱷
Champsodontidae	齒科
Changbin	長濱
Changhua Animal Propagation Station	彰化種畜繁殖場
Changhua Animal Propagation Station, Livestock Research Institute	畜產試驗所彰化種畜繁殖場
Chanidae	虱目魚科
Channa argus (Cantor)	黑鱧
Channa asiatica (Linnaeus)	七星鱧
Channa gachua (Hamilton-Buchanan)	寬額鱧
Channa maculatus (Lacepede)	鱧
Channel Catfish Virus Disease	河鯰病毒症
Channel capacity	水渠容量
Channel density	河川密度
Channel storage	河道儲留
Channidae	鱧科
Chanos chanos (Forsskal)	虱目魚、麻虱目、海草魚
Chaparral	硬業灌叢
Char	鮭類小魚
Character	特性
Character divergence	性壯分歧
Character gradient	性狀變異梯度
Character species	特徵種
Characteristic	特徵，特有的
Characteristic point	特性點
Characteristic species	典型種，特徵種
Characteristic value	特徵值
Characteristic x-ray	特性ｘ- 射線
Characterization	特性記述
Charcoal	木碳
Chart	航行圖
Chart scale	地圖縮尺
Chartered Association of Certified Accounts ; CACA	合格會計師協會
